WEO Country Code;ISO;WEO Subject Code;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;2008;2009;2010;Estimates Start After
193;AUS;PCPIPCH;Australia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.588;3.588;2.982;2007
193;AUS;LUR;Australia;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition. Data refer to calendar years Source: IMF Staff. Labor Force and Employment series from Australian Bureau of Statistics Time Series Statistics Plus Latest actual data: 2007 Primary domestic currency:  Australian dollars Data last updated: 10/2008;4.333;4.825;n/a;2007
122;AUT;NGDP_RPCH;Austria;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.043;0,527777778;2.124;2007
122;AUT;PCPIPCH;Austria;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.457;2.255;1.900;2007
122;AUT;LUR;Austria;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition ILO (International Labour Organization) Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;4.175;4.413;n/a;2007
912;AZE;NGDP_RPCH;Azerbaijan;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;15.972;16.357;5.197;2007
912;AZE;PCPIPCH;Azerbaijan;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;22.409;20.000;15.000;2007
912;AZE;LUR;Azerbaijan;Unemployment rate;Percent of total labor force;;;;;;
313;BHS;NGDP_RPCH;Bahamas, The;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;1.000;1.200;1.500;2007
313;BHS;PCPIPCH;Bahamas, The;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.514;3.455;2.000;2007
313;BHS;LUR;Bahamas, The;Unemployment rate;Percent of total labor force;;;;;;
419;BHR;NGDP_RPCH;Bahrain;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.335;6.024;5.801;2007
419;BHR;PCPIPCH;Bahrain;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.474;6.000;5.500;2007
419;BHR;LUR;Bahrain;Unemployment rate;Percent of total labor force;;;;;;
513;BGD;NGDP_RPCH;Bangladesh;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.006;5.616;4.813;2007
513;BGD;PCPIPCH;Bangladesh;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;10.110;9.954;8.136;2007
513;BGD;LUR;Bangladesh;Unemployment rate;Percent of total labor force;;;;;;
316;BRB;NGDP_RPCH;Barbados;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;1.700;1.000;2.600;2007
316;BRB;PCPIPCH;Barbados;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.994;6.418;0.079;2007
316;BRB;LUR;Barbados;Unemployment rate;Percent of total labor force;;;;;;
913;BLR;NGDP_RPCH;Belarus;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;9.211;8.034;6.844;2007
913;BLR;PCPIPCH;Belarus;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;15.318;9.645;8.099;2007
913;BLR;LUR;Belarus;Unemployment rate;Percent of total labor force;;;;;;
124;BEL;NGDP_RPCH;Belgium;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;1.408;0,120833333;1.940;2007
124;BEL;PCPIPCH;Belgium;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.647;2.833;1.966;2007
124;BEL;LUR;Belgium;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition OECD (Organisation for Economic Co-operation and Development) Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;7.060;8.560;n/a;2007
339;BLZ;NGDP_RPCH;Belize;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.000;2.500;2.505;2007
339;BLZ;PCPIPCH;Belize;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.600;3.250;2.500;2007
339;BLZ;LUR;Belize;Unemployment rate;Percent of total labor force;;;;;;
638;BEN;NGDP_RPCH;Benin;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.050;5.727;5.917;2007
638;BEN;PCPIPCH;Benin;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.840;6.529;2.844;2007
638;BEN;LUR;Benin;Unemployment rate;Percent of total labor force;;;;;;
514;BTN;NGDP_RPCH;Bhutan;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.550;5.661;6.618;0
514;BTN;PCPIPCH;Bhutan;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;7.700;5.000;4.000;2007
514;BTN;LUR;Bhutan;Unemployment rate;Percent of total labor force;;;;;;
218;BOL;NGDP_RPCH;Bolivia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.900;5.000;4.400;2006
218;BOL;PCPIPCH;Bolivia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;14.300;10.600;8.900;2007
218;BOL;LUR;Bolivia;Unemployment rate;Percent of total labor force;;;;;;
963;BIH;NGDP_RPCH;Bosnia and Herzegovina;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.500;5.000;5.000;2007
963;BIH;PCPIPCH;Bosnia and Herzegovina;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.452;5.198;3.014;2007
963;BIH;LUR;Bosnia and Herzegovina;Unemployment rate;Percent of total labor force;;;;;;
616;BWA;NGDP_RPCH;Botswana;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.326;4.603;4.674;2006
616;BWA;PCPIPCH;Botswana;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;12.580;11.938;10.231;2007
616;BWA;LUR;Botswana;Unemployment rate;Percent of total labor force;;;;;;
223;BRA;NGDP_RPCH;Brazil;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.231;3.500;4.387;2007
223;BRA;PCPIPCH;Brazil;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;5.743;5.093;4.500;2007
223;BRA;LUR;Brazil;Unemployment rate;Percent of total labor force;;;;;;
516;BRN;NGDP_RPCH;Brunei Darussalam;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;-0.495;2.813;2.917;2006
516;BRN;PCPIPCH;Brunei Darussalam;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;0,520833333;1.000;1.200;2006
516;BRN;LUR;Brunei Darussalam;Unemployment rate;Percent of total labor force;;;;;;
918;BGR;NGDP_RPCH;Bulgaria;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.250;4.250;5.500;2007
918;BGR;PCPIPCH;Bulgaria;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;12.218;7.019;4.664;2007
918;BGR;LUR;Bulgaria;Unemployment rate;Percent of total labor force;;;;;;
748;BFA;NGDP_RPCH;Burkina Faso;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.457;5.553;6.012;2006
748;BFA;PCPIPCH;Burkina Faso;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;9.529;4.994;2.099;2007
748;BFA;LUR;Burkina Faso;Unemployment rate;Percent of total labor force;;;;;;
618;BDI;NGDP_RPCH;Burundi;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.530;4.950;4.955;1998
618;BDI;PCPIPCH;Burundi;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;24.300;15.351;8.668;2007
618;BDI;LUR;Burundi;Unemployment rate;Percent of total labor force;;;;;;
522;KHM;NGDP_RPCH;Cambodia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.000;6.000;6.500;2006
522;KHM;PCPIPCH;Cambodia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;20.061;8.977;5.123;2006
522;KHM;LUR;Cambodia;Unemployment rate;Percent of total labor force;;;;;;
622;CMR;NGDP_RPCH;Cameroon;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.800;4.550;4.776;2006
622;CMR;PCPIPCH;Cameroon;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.149;2.098;2.000;2007
622;CMR;LUR;Cameroon;Unemployment rate;Percent of total labor force;;;;;;
156;CAN;NGDP_RPCH;Canada;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;0,502777778;1.174;2.783;2007
156;CAN;PCPIPCH;Canada;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;2.530;2.128;2.000;2007
156;CAN;LUR;Canada;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Canadian dollars Data last updated: 10/2008;6.159;6.325;n/a;2007
624;CPV;NGDP_RPCH;Cape Verde;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.950;6.539;6.971;2004
624;CPV;PCPIPCH;Cape Verde;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;5.666;4.900;2.149;2006
624;CPV;LUR;Cape Verde;Unemployment rate;Percent of total labor force;;;;;;
626;CAF;NGDP_RPCH;Central African Republic;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.523;4.500;5.000;2006
626;CAF;PCPIPCH;Central African Republic;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.495;6.661;2.850;2007
626;CAF;LUR;Central African Republic;Unemployment rate;Percent of total labor force;;;;;;
628;TCD;NGDP_RPCH;Chad;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;0,257638889;5.046;2.458;2006
628;TCD;PCPIPCH;Chad;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;5.035;3.027;3.011;2006
628;TCD;LUR;Chad;Unemployment rate;Percent of total labor force;;;;;;
228;CHL;NGDP_RPCH;Chile;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.461;3.796;4.500;2007
228;CHL;PCPIPCH;Chile;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.943;6.531;3.886;2007
228;CHL;LUR;Chile;Unemployment rate;Percent of total labor force;;;;;;
924;CHN;NGDP_RPCH;China;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;9.739;9.250;9.800;2007
924;CHN;PCPIPCH;China;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;6.428;4.336;3.886;2007
924;CHN;LUR;China;Unemployment rate;Percent of total labor force;;;;;;
233;COL;NGDP_RPCH;Colombia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.000;3.500;5.000;2007
233;COL;PCPIPCH;Colombia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;7.300;5.500;4.500;2007
233;COL;LUR;Colombia;Unemployment rate;Percent of total labor force;;;;;;
632;COM;NGDP_RPCH;Comoros;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;0,341666667;1.732;2.500;2007
632;COM;PCPIPCH;Comoros;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;5.915;5.638;2.214;2007
632;COM;LUR;Comoros;Unemployment rate;Percent of total labor force;;;;;;
636;COD;NGDP_RPCH;Congo, Democratic Republic of;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;9.996;10.277;11.241;2005
636;COD;PCPIPCH;Congo, Democratic Republic of;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;17.466;15.084;11.500;2007
636;COD;LUR;Congo, Democratic Republic of;Unemployment rate;Percent of total labor force;;;;;;
634;COG;NGDP_RPCH;Congo, Republic of;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;9.088;12.146;10.129;2007
634;COG;PCPIPCH;Congo, Republic of;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.010;4.000;3.000;2007
634;COG;LUR;Congo, Republic of;Unemployment rate;Percent of total labor force;;;;;;
238;CRI;NGDP_RPCH;Costa Rica;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.000;3.500;4.500;2007
238;CRI;PCPIPCH;Costa Rica;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;12.171;10.878;8.218;2007
238;CRI;LUR;Costa Rica;Unemployment rate;Percent of total labor force;;;;;;
662;CIV;NGDP_RPCH;Côte d'Ivoire;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.938;4.684;5.805;2007
662;CIV;PCPIPCH;Côte d'Ivoire;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;5.579;5.719;2.187;2007
662;CIV;LUR;Côte d'Ivoire;Unemployment rate;Percent of total labor force;;;;;;
960;HRV;NGDP_RPCH;Croatia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.776;3.730;4.500;2007
960;HRV;PCPIPCH;Croatia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;6.954;4.861;3.498;2007
960;HRV;LUR;Croatia;Unemployment rate;Percent of total labor force;;;;;;
423;CYP;NGDP_RPCH;Cyprus;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.400;2.800;3.500;2007
423;CYP;PCPIPCH;Cyprus;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;4.645;3.515;2.557;2007
423;CYP;LUR;Cyprus;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition Source: National Statistical Office. Labor force survey. Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;3.925;3.925;n/a;2007
935;CZE;NGDP_RPCH;Czech Republic;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.032;3.353;4.200;2007
935;CZE;PCPIPCH;Czech Republic;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;6.736;3.400;2.000;2007
935;CZE;LUR;Czech Republic;Unemployment rate;Percent of total labor force;;;;;;
128;DNK;NGDP_RPCH;Denmark;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;1.005;0,315277778;0,303472222;2007
128;DNK;PCPIPCH;Denmark;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.400;2.800;2.100;2007
128;DNK;LUR;Denmark;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, national definition Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Danish kroner Data last updated: 09/2008;1.800;2.600;n/a;2007
611;DJI;NGDP_RPCH;Djibouti;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.860;6.860;7.306;1999
611;DJI;PCPIPCH;Djibouti;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.130;6.000;4.200;2007
611;DJI;LUR;Djibouti;Unemployment rate;Percent of total labor force;;;;;;
321;DMA;NGDP_RPCH;Dominica;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.606;2.823;3.000;2007
321;DMA;PCPIPCH;Dominica;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;2.244;1.500;1.500;2007
321;DMA;LUR;Dominica;Unemployment rate;Percent of total labor force;;;;;;
243;DOM;NGDP_RPCH;Dominican Republic;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;4.662;2.834;9.330;2007
243;DOM;PCPIPCH;Dominican Republic;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;12.290;10.658;7.416;2007
243;DOM;LUR;Dominican Republic;Unemployment rate;Percent of total labor force;;;;;;
248;ECU;NGDP_RPCH;Ecuador;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.996;3.045;3.976;2006
248;ECU;PCPIPCH;Ecuador;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;8.547;5.100;3.300;2007
248;ECU;LUR;Ecuador;Unemployment rate;Percent of total labor force;;;;;;
469;EGY;NGDP_RPCH;Egypt;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.233;5.998;5.997;2007
469;EGY;PCPIPCH;Egypt;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;11.704;16.089;11.100;2007
469;EGY;LUR;Egypt;Unemployment rate;Percent of total labor force;;;;;;
253;SLV;NGDP_RPCH;El Salvador;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.000;2.600;3.000;2007
253;SLV;PCPIPCH;El Salvador;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;7.583;7.435;4.971;2007
253;SLV;LUR;El Salvador;Unemployment rate;Percent of total labor force;;;;;;
642;GNQ;NGDP_RPCH;Equatorial Guinea;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;7.437;4.596;4.133;2006
642;GNQ;PCPIPCH;Equatorial Guinea;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;6.365;5.480;5.026;2007
642;GNQ;LUR;Equatorial Guinea;Unemployment rate;Percent of total labor force;;;;;;
643;ERI;NGDP_RPCH;Eritrea;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;1.208;2.044;6.024;2006
643;ERI;PCPIPCH;Eritrea;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;11.048;10.474;9.738;2007
643;ERI;LUR;Eritrea;Unemployment rate;Percent of total labor force;;;;;;
939;EST;NGDP_RPCH;Estonia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;-1.521;0,322222222;5.364;2007
939;EST;PCPIPCH;Estonia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;10.157;5.057;3.000;2007
939;EST;LUR;Estonia;Unemployment rate;Percent of total labor force;;;;;;
644;ETH;NGDP_RPCH;Ethiopia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;8.416;6.524;7.267;2007
644;ETH;PCPIPCH;Ethiopia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;25.316;40.772;16.682;2007
644;ETH;LUR;Ethiopia;Unemployment rate;Percent of total labor force;;;;;;
819;FJI;NGDP_RPCH;Fiji;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.500;2.000;2.900;2007
819;FJI;PCPIPCH;Fiji;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;7.000;6.000;5.000;2007
819;FJI;LUR;Fiji;Unemployment rate;Percent of total labor force;;;;;;
172;FIN;NGDP_RPCH;Finland;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;2.495;1.623;2.200;2007
172;FIN;PCPIPCH;Finland;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.900;2.500;2.000;2007
172;FIN;LUR;Finland;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition ILO (International Labour Organization) Source: Research Institute of the Finnish Economy (ETLA) Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;6.192;6.192;n/a;2007
132;FRA;NGDP_RPCH;France;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;0,58125;0,105555556;1.585;2007
132;FRA;PCPIPCH;France;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;3.413;1.594;1.621;2007
132;FRA;LUR;France;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition ILO (International Labour Organization) Source: National Statistical Office Latest actual data: 2007 Primary domestic currency:  Euros Data last updated: 10/2008;7.675;8.289;n/a;2007
646;GAB;NGDP_RPCH;Gabon;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.874;6.952;3.462;2003
646;GAB;PCPIPCH;Gabon;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;5.076;5.700;3.500;2007
646;GAB;LUR;Gabon;Unemployment rate;Percent of total labor force;;;;;;
648;GMB;NGDP_RPCH;Gambia, The;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;5.497;5.999;5.995;2007
648;GMB;PCPIPCH;Gambia, The;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;6.000;5.500;4.750;2007
648;GMB;LUR;Gambia, The;Unemployment rate;Percent of total labor force;;;;;;
915;GEO;NGDP_RPCH;Georgia;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.500;4.000;6.000;2007
915;GEO;PCPIPCH;Georgia;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;10.000;7.600;7.000;2007
915;GEO;LUR;Georgia;Unemployment rate;Percent of total labor force;;;;;;
134;DEU;NGDP_RPCH;Germany;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;1.850;-0.002;0,691666667;2007
134;DEU;PCPIPCH;Germany;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;2.940;1.374;1.400;2007
134;DEU;LUR;Germany;Unemployment rate;Percent of total labor force;;Definition: Unemployment rate, harmonized definition ILO (International Labour Organization) Source: National Statistical Office Latest actual data: 2007 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Primary domestic currency:  Euros Data last updated: 10/2008;7.431;8.024;n/a;2007
652;GHA;NGDP_RPCH;Ghana;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;6.500;5.800;5.786;2006
652;GHA;PCPIPCH;Ghana;Inflation, average consumer prices;Annual percent change;;See notes for:  Inflation, average consumer prices (Index, 2000=100).;16.793;13.261;10.222;2007
652;GHA;LUR;Ghana;Unemployment rate;Percent of total labor force;;;;;;
174;GRC;NGDP_RPCH;Greece;Gross domestic product, constant prices;Annual percent change;;See notes for:  Gross domestic product, constant prices (National currency).;3.156;2.000;2.600;2007
